都道府県,施設名,住所,place_id
東京,エクセルシオール カフェ 亀戸店,日本、〒136-0071 東京都江東区亀戸５丁目１−２ ＬＩＶ亀戸２ビル １Ｆ,ChIJ8-EN-sSIGGARLqkqUOBblf4
東京,エクセルシオール カフェ 東京スカイツリーイーストタワー店,日本、〒131-0045 東京都墨田区押上１丁目１−２ 東京スカイツリーイーストタワー １２Ｆ,ChIJ_SoK_ftfGGARyW1BBBRamVA
東京,カフェ コロラド 下高井戸駅前店,日本、〒156-0043 東京都世田谷区松原３丁目２９−１９ 鈴木ビル ２Ｆ,ChIJW1L6R67zGGARmEDTkC6I6ic
東京,カフェ コロラド 駒場東大前店,日本、〒153-0041 東京都目黒区駒場３丁目１１−１２,ChIJoaBdZFDzGGARoUdZ2DoSLKM
東京,カフェ コロラド 三軒茶屋店,日本、〒154-0004 東京都世田谷区太子堂４丁目２２−７ 森住ビル １Ｆ,ChIJHccsb5_0GGAR9k80FEeP0p4
東京,カフェ コロラド 大山店,日本、〒173-0023 東京都板橋区大山町４７−５ きくやビル ２Ｆ,ChIJ6e7pRbaSGGARmOX-WZv9V9I
東京,スターバックスコーヒー CIRCLES 銀座店,日本、〒104-0061 東京都中央区銀座３丁目７−６ Circles銀座,ChIJecKKfY2LGGARM9UswhpoTSI
東京,スターバックスコーヒー JR上野駅 入谷改札前店,日本、〒110-0005 東京都台東区上野７丁目１−１ 入谷口改札外 上野駅構内 3階,ChIJe0yOHCaPGGAR7T0nV9BjDm8
東京,スターバックスコーヒー JR池袋駅 西口店,日本、〒171-0021 東京都豊島区西池袋１丁目１−２５,ChIJ-0CNrcONGGARz8rO_B-2F8k
東京,スターバックスコーヒー ＪＲ東海 東京駅新幹線南ラチ内店,日本、〒103-0028 東京都中央区八重洲１丁目７−２０ 八重洲口会館 JR-PLUS関東支社,ChIJtxODuv6LGGAR7KPIhM48Zz0
東京,スターバックスコーヒー ＪＲ東海 品川駅ラチ内店,日本、〒108-0075 東京都港区港南２丁目１ 78JR-PLUS品川事務所,ChIJK-2xhVqKGGAR-hZVaYvNJXo
東京,スターバックスコーヒー JR東海 品川駅店,日本、〒108-0075 東京都港区港南２丁目１−７８,ChIJVWCf7g-LGGARx-CQOJaneYA
東京,スターバックスコーヒー JR東日本ホテルメッツ プレミア 秋葉原店,日本、〒101-0021 東京都千代田区外神田１丁目１７−4JR 東日本ホテルメッツ プレミア 秋葉原,ChIJkdGXtTeNGGARpQBGphIMVD0
東京,スターバックスコーヒー JR東日本ホテルメッツ 目白店,日本、〒171-0031 東京都豊島区目白１丁目４−１ JR東日本ホテルメッツ 目白3階,ChIJaTk2DTiNGGARnwH7alCoCVg
東京,スターバックスコーヒー LaLaテラス南千住店,日本、〒116-0003 東京都荒川区南千住４丁目７−２ LaLaテラス南千住 B棟1階,ChIJDTu8zdePGGARZFeBhOmsXjw
