都道府県,施設名,住所,place_id
東京,BIZcomfort西新井,日本、〒121-0816 東京都足立区梅島３丁目３３−６ EMBLEM西新井 2F・3F,ChIJjWi8ZMeRGGAREajkDsTrA48
東京,ジザイ 西新井,日本、〒123-0843 東京都足立区西新井栄町１丁目１７−１ パサージオ西新井 4F,ChIJ026Zs-2RGGARnaVqmkwzj2w
東京,スペースジャパン,日本、〒123-0843 東京都足立区西新井栄町３丁目８−３,ChIJf8uHNvCRGGARXZbNmrgQTtE
東京,BIZcomfort北千住,日本、〒120-0035 東京都足立区千住中居町１７−２０ マルアイビル 5F・6F,ChIJC1MbnKKPGGARzL6dDQOIl-0
東京,8Knot-コワーキングスペース-五反野,日本、〒120-0015 東京都足立区足立３丁目３３−３ ヤオキン商事第2ビル 3階,ChIJN6YlMVWPGGARKQQbNp6Bpcw
東京,TOBU×BIZcomfort竹ノ塚,日本、〒121-0813 東京都足立区竹の塚６丁目６−１ 駅ビル 2F・3F,ChIJ0XJ7X52RGGAR90UF6PIgT7g
東京,加瀬のレンタルオフィス西新井,日本、〒123-0843 東京都足立区西新井栄町２丁目３−７ 第１１１新井ビル 3階,ChIJ6cBdaeaRGGARB9aec4ZiTT8
東京,てんくんスペース 「コワーキングスペース/自習室」,日本、〒121-0813 東京都足立区竹の塚１丁目１３−１３,ChIJkyn8qWeRGGARBSK5znUwq0k
東京,ビジネスポート竹の塚,日本、〒121-0813 東京都足立区竹の塚１丁目４０−１５ 庄栄ビル ５階,ChIJ4YhWb5aRGGAR6IVVocwOgBo
東京,ジザイ 竹ノ塚,日本、〒121-0813 東京都足立区竹の塚１丁目４１−１０ T・スクエア 7F,ChIJg-IpnjuRGGARNpEX74yf4s0
東京,コワーキングスペースツナグ,日本、〒120-0013 東京都足立区弘道１丁目５−２０ 第３弘道プラザ,ChIJcY-U-l6PGGARk_B4zZpEb8Q
東京,H¹T 北千住西口,日本、〒120-0034 東京都足立区千住３丁目９２,ChIJK5tVXE-OGGARWLkvV6j3HNo
東京,KNOW HOW 北千住,日本、〒120-0033 東京都足立区千住寿町８−１８ 柏崎ビル 201号室,ChIJCZhbfduPGGARpxVYXRlL0zo
東京,ワークスタイリング 北千住,日本、〒120-0034 東京都足立区千住３丁目９８ ミルディスⅡ番館 5階,ChIJU3EEq8OPGGARM_Q7kqVvIjM
