都道府県,施設名,住所,place_id
東京,.andwork shibuya (アンドワーク渋谷),日本、〒150-0041 東京都渋谷区神南１丁目２０−１３ The Millennials 渋谷内,ChIJceXj8aiMGGARwHUUAs1xwts
東京,&AND HOSTEL MINAMISENJU,日本、〒116-0003 東京都荒川区南千住３丁目２−９,ChIJ2-nzIc2PGGARGuTezG1SN0o
東京,AndWorker神楽坂,日本、〒112-0014 東京都文京区関口１丁目５−１０,ChIJFUJOwReNGGARFBA7YzOhWyg
東京,AWS Startup Loft Tokyo,日本、〒141-0021 東京都品川区上大崎３丁目１−１ 目黒セントラルスクエア 17F アマゾン新目黒オフィス,ChIJAwIIyMmLGGARgSXAT7lGl_4
東京,BASE POINT ベースポイント,日本、〒160-0023 東京都新宿区西新宿７丁目２２−３,ChIJIbfcEyqNGGARMBeffPgzQpA
東京,BasisPoint 西新宿店,日本、〒160-0023 東京都新宿区西新宿５丁目８−２ 惠徳ビル 10F,ChIJXd8MIbfzGGARSulQaiiDblQ
東京,BasisPoint 池袋店,日本、〒171-0022 東京都豊島区南池袋１丁目２４−６ 深野ビル 4F,ChIJdX5h32eNGGARof_Sn3IDOM0
東京,BIZcircle墨田鐘ヶ淵,日本、〒131-0031 東京都墨田区墨田５丁目５−２,ChIJrcuomOyPGGARdCM-our7JlI
東京,BIZcircle両国隅田川,"日本、〒130-0026 東京都墨田区両国１丁目８−４ 階, ７",ChIJNf98qkuJGGARDJzHYuk684Y
東京,BIZcircle両国森下,日本、〒130-0025 東京都墨田区千歳２丁目５−５ クレイル両国 1F,ChIJp3XCJDaJGGARD5KevcwHng4
東京,BIZcomfort 品川Skyway,日本、〒108-0075 東京都港区港南２丁目１７−１ 京王品川ビル 2F,ChIJhb6Km3OLGGAR1wiK-vALzjo
東京,BIZcomfort 豊洲市場前,日本、〒135-0061 東京都江東区豊洲６丁目４−３４ メブクス豊洲 1F,ChIJEUinIgCJGGARVEf3e5W2I18
東京,BIZcomfort曳舟,日本、〒131-0046 東京都墨田区京島１丁目８−８,ChIJ7amfGJePGGARPMCTLvyemqY
東京,BIZcomfort葛西,日本、〒134-0083 東京都江戸川区中葛西５丁目４１−１０ BPRプレイス葛西 6F・7F,ChIJQRV1GLOHGGARHqyjgMuhdVM
東京,BIZcomfort蒲田,日本、〒144-0052 東京都大田区蒲田５丁目２１−１３ ペガサスステーションプラザ蒲田 B2,ChIJNWdGlslhGGARAG1TqjhRCwc
東京,BIZcomfort亀戸南,日本、〒136-0071 東京都江東区亀戸７丁目４４−２,ChIJvbTSN3iJGGARDKJuFIVQVjE
東京,BIZcomfort京急大森町,日本、〒143-0015 東京都大田区大森西３丁目２８−５ コスモリード大森 西2F,ChIJR4v3txphGGARBqqa6KAaXTI
東京,BIZcomfort錦糸町,日本、〒130-0022 東京都墨田区江東橋４丁目２７−１４ 楽天地ビル 3F,ChIJ4dVOFlCJGGARSTWWh8zafGw
東京,BIZcomfort駒込,日本、〒170-0003 東京都豊島区駒込２丁目３−３ 駒込北口ビル 3F,ChIJj4QyuZaNGGARJBhJAYNTVmg
東京,BIZcomfort五反田,日本、〒141-0031 東京都品川区西五反田２丁目１４−１３ ニックハイム五反田 2F,ChIJ0_VW8DWLGGAR-gtRewpH5FU
東京,BIZcomfort御茶ノ水,日本、〒113-0033 東京都文京区本郷３丁目４−３ ヒルズ８８４お茶の水ビル 4F・5F お茶ノ水ビル,ChIJ__9rpiKMGGARG4Qoy9O4rhU
東京,BIZcomfort江戸川瑞江,日本、〒132-0011 東京都江戸川区瑞江２丁目５−３ グレイス瑞江 2F,ChIJz4j8GF6HGGARgFJifT43Ubs
東京,BIZcomfort秋葉原岩本町,日本、〒101-0032 東京都千代田区岩本町３丁目８−８ 中和秋葉原ビル,ChIJVxIwOKmOGGAR91tol9fttZ4
東京,BIZcomfort西新井,日本、〒121-0816 東京都足立区梅島３丁目３３−６ EMBLEM西新井 2F・3F,ChIJjWi8ZMeRGGAREajkDsTrA48
東京,BIZcomfort西日暮里,日本、〒116-0013 東京都荒川区西日暮里６丁目３７−１,ChIJOx1JZAiNGGARHxV00GoKMv8
東京,BIZcomfort川口,日本、〒332-0023 埼玉県川口市飯塚１丁目２−１６ 川口ホームズマンション 1F,ChIJiZ1hD2mTGGAR8XtkzSJ65ds
東京,BIZcomfort浅草,日本、〒111-0032 東京都台東区浅草１丁目１３−５ 井門浅草すしや通りビル,ChIJJ_2AqeyPGGARVS64Af09oLI
東京,BIZcomfort浅草橋,日本、〒110-0016 東京都台東区台東１丁目３８−９ イトーピア清洲橋通ビル 5F,ChIJm6PtdaWOGGARTYVzXngrP5w
東京,BIZcomfort大塚,日本、〒170-0004 東京都豊島区北大塚１丁目１９−１２ コルティス大塚 5F・6F,ChIJd8_1SHaNGGARP-2SjaRYU_U
東京,BIZcomfort池袋,日本、〒171-0021 東京都豊島区西池袋２丁目３６−１０ ACN池袋ビル 5F,ChIJrVPifVuNGGARZMvu2WuUab0
東京,BIZcomfort池袋西口,日本、〒171-0014 東京都豊島区池袋２丁目３６−１ INFINITY IKEBUKURO6F・7F・8F,ChIJTYm8ZkyNGGARpxFKEOCH10g
東京,BIZcomfort中板橋,日本、〒173-0021 東京都板橋区弥生町３３−３ 三春ビル 5F,ChIJs-PWhSOTGGARfdzwEcqgm2A
東京,BIZcomfort中野南,日本、〒164-0001 東京都中野区中野２丁目１９−２ リードシー中野ビル 3F,ChIJN5BtFHHzGGAR_5DdqatbRO0
東京,BIZcomfort東十条,日本、〒114-0032 東京都北区中十条３丁目３５−１ 桑沢ビル 5F,ChIJbTEh8xOTGGARxzUn-A8EWXg
東京,BIZcomfort東池袋,日本、〒170-0013 東京都豊島区東池袋５丁目７−３ 五丁目ビル 2F,ChIJiZ6DVDuNGGARSGZHcP77IWs
東京,BIZcomfort日暮里,日本、〒116-0014 東京都荒川区東日暮里５丁目５０−５ アートホテル日暮里ラングウッド 3F,ChIJTcs5Kn-PGGARmXv-nr_c8Dw
東京,BIZcomfort板橋大山,日本、〒173-0023 東京都板橋区大山町１２−２ DT大山町 3F・4F・5F,ChIJjfKVzh-TGGARnfJnLR5OqV0
東京,BIZcomfort品川御殿山,日本、〒141-0001 東京都品川区北品川５丁目１２−４ リードシー御殿山 7F・8F,ChIJVy2rnLeLGGAR3OCrIv2sLKU
東京,BIZcomfort品川大井町,日本、〒140-0004 東京都品川区南品川２丁目２−５ リードシー南品川ビル 2F,ChIJLSWuIaKLGGAR3pgeHDso7rg
東京,BIZcomfort文京白山,日本、〒113-0001 東京都文京区白山１丁目１３−７ アクア白山ビル 7F,ChIJh1yYrEqMGGAR_duTZHRw5cw
東京,BIZcomfort北千住,日本、〒120-0035 東京都足立区千住中居町１７−２０ マルアイビル 5F・6F,ChIJC1MbnKKPGGARzL6dDQOIl-0
東京,BIZcomfort用賀,日本、〒158-0097 東京都世田谷区用賀４丁目９−１２ Astage用賀 B1,ChIJBaLiV7H1GGARPiGJTxYPF5A
東京,BONUS TRACK MEMBERS（シェアオフィス・コワーキングスペース）下北沢・世田谷代田,日本、〒155-0033 東京都世田谷区代田２丁目３６−12~15,ChIJUaJwz6HzGGARpbX2wVVDoCo
東京,CASE Shinjuku,日本、〒169-0075 東京都新宿区高田馬場１丁目２８−１０ 三慶ビル 4F バンフォーレ,ChIJ-eXuZDmNGGARfwYs1UZozuw
東京,CITY CREATION門前仲町レンタルオフィス,日本、〒135-0047 東京都江東区富岡１丁目２４−２,ChIJx9nidHSJGGARgZA_csYQ8U4
東京,co-ba ikebukuro,日本、〒171-0021 東京都豊島区西池袋３丁目２９−番３号 梅本ビル４階,ChIJ0_p9rF6NGGARUv5yppy-6fU
