都道府県,施設名,住所,place_id
東京,日比谷図書文化館,日本、〒100-0012 東京都千代田区日比谷公園１−４,ChIJZ9ane-2LGGARwF-QjgVp3PM
東京,日比谷図書文化館 文化財事務室,日本、〒100-0012 東京都千代田区日比谷公園１−４,ChIJZ9ane-2LGGARnU5oQ3wani4
東京,国土交通省図書館,日本、〒100-0013 東京都千代田区霞が関２丁目１−３,ChIJN3HAGRyLGGARs36zDcVh2BQ
東京,国立国会図書館,日本、〒100-0014 東京都千代田区永田町１丁目１０−１,ChIJ03qMt3eMGGARdlEfyYPo_wE
東京,千代田区立千代田図書館,日本、〒102-0074 東京都千代田区九段南１丁目２−１ 千代田区役所,ChIJNfH1QhOMGGARCg4QypRh0ZQ
東京,千代田区立四番町図書館,日本、〒102-0075 東京都千代田区三番町１４−７,ChIJs9n1fWaMGGAR3qfSLdpZZP4
東京,千代田区役所,日本、〒102-8688 東京都千代田区九段南１丁目２−１,ChIJPfFaQhOMGGAREtQU59hv9JU
東京,中央区立日本橋図書館,日本、〒103-0013 東京都中央区日本橋人形町１丁目１−１７,ChIJJVm3T1CJGGARjMLMsvxNpP8
東京,中央区立月島図書館,日本、〒104-0052 東京都中央区月島４丁目１−１,ChIJh5--ZXqJGGARFicgS-yXRKM
東京,港区立みなと図書館,日本、〒105-0011 東京都港区芝公園３丁目２−２５,ChIJ5UUjtL-LGGARNtKVquguCgU
東京,気象庁図書館,日本、〒105-8431 東京都港区虎ノ門３丁目６−９,ChIJAbp_MTaNGGARFDrqYpnksVY
東京,港区立麻布図書館,日本、〒106-0032 東京都港区六本木５丁目１２−２４,ChIJJUbdIZ-LGGARwCFJRNRiPlk
東京,東京都立中央図書館,日本、〒106-8575 東京都港区南麻布５丁目７−１３,ChIJdwJIUXOLGGARLgNV5YI-lew
東京,港区立赤坂図書館,日本、〒107-0062 東京都港区南青山１丁目３−３,ChIJfW2sToKMGGARqXvzq0R58So
東京,港区立青山生涯学習館,日本、〒107-0062 東京都港区南青山４丁目１９−７,ChIJQwQu12OLGGARwB3uSvBTo9A
東京,港区立高輪図書館,日本、〒108-0074 東京都港区高輪１丁目１６−２５ 3階,ChIJ11WrmamLGGAR6KlfU8JSUZI
東京,港区立港南図書館,日本、〒108-0075 東京都港区港南３丁目３−１７ シティハイツ港南,ChIJubUrLEaKGGARXD7tmgPjiog
東京,台東区立中央図書館,日本、〒111-0035 東京都台東区西浅草３丁目２５−１６,ChIJJxADQpSOGGAR4m5LLQ8PaTI
東京,台東区立中央図書館浅草橋分室,日本、〒111-0053 東京都台東区浅草橋２丁目８−７ 浅草橋区民館 ２階３階,ChIJFYyv1rGOGGARqjLo5B2QRoA
東京,文京区立小石川図書館,日本、〒112-0002 東京都文京区小石川５丁目９−２０,ChIJ_2KMeK6NGGARE83qdZSVHEs
東京,文京区立水道端図書館,日本、〒112-0005 東京都文京区水道２丁目１６−１４,ChIJ52XRWlOMGGARzWvk6RMPkE4
東京,文京区立千石図書館,日本、〒112-0011 東京都文京区千石１丁目２５−３,ChIJR28TnryNGGARlReDHydEMFw
東京,文京区立大塚公園みどりの図書室,日本、〒112-0012 東京都文京区大塚４丁目４９−２,ChIJ32eApKCNGGARnw9jevojlio
東京,文京区立目白台図書館,日本、〒112-0014 東京都文京区関口３丁目１７−９,ChIJB18UjQWNGGARGh12t4IrwCg
東京,文京区立本駒込図書館,日本、〒113-0021 東京都文京区本駒込４丁目３５−１５ 都営本駒込四丁目アパート１５号棟,ChIJYT2UIsGNGGARw9uCYph-iiQ
東京,文京区立本郷図書館,日本、〒113-0022 東京都文京区千駄木３丁目２−６,ChIJKfA6C86NGGARplwkwcgH1Bo
東京,文京学院大学 本郷図書館,日本、〒113-0023 東京都文京区向丘１丁目１９−１,ChIJyyfBnzSMGGARvGVdlcTz24g
東京,文京区立根津図書室,日本、〒113-0031 東京都文京区根津２丁目２０−７ 文京区立不忍通りふれあい館,ChIJq-N9oy2MGGARvcTiyB6kHms
東京,文京区立湯島図書館,日本、〒113-0033 東京都文京区本郷３丁目１０−１８,ChIJWQWivCKMGGARTnRfpjXS-5s
東京,文京区立真砂中央図書館,日本、〒113-0033 東京都文京区本郷４丁目８−１５,ChIJgY67jTmMGGAR4BOdXs7ASWs
